date,agent,call_type,shift,duration_min,crm_response_s,skill_match,delay_cause,resolved,phase,week
2025-04-01,Agent_13,Technical,Night,12.08,4.62,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_5,Billing,Morning,8.18,2.22,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Afternoon,8.49,0.51,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_10,Account,Afternoon,4.72,1.52,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_27,General Inquiry,Afternoon,6.14,2.73,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_8,Refund,Morning,7.46,2.78,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Morning,8.44,1.46,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_29,Technical,Morning,13.32,0.71,False,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_5,Billing,Afternoon,4.52,1.87,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_13,General Inquiry,Morning,22.52,2.23,False,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_15,Billing,Morning,5.5,1.06,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_21,Technical,Morning,10.67,3.48,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_10,General Inquiry,Night,5.3,1.06,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_29,Billing,Night,5.88,3.65,False,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_6,General Inquiry,Afternoon,4.84,1.48,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_18,Technical,Morning,12.08,2.82,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_28,Technical,Night,7.93,2.57,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_20,Billing,Morning,8.1,1.6,True,Script Complexity,False,Baseline,2025-03-31
2025-04-01,Agent_16,General Inquiry,Afternoon,7.6,1.66,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_28,Technical,Morning,8.5,4.23,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_6,Refund,Afternoon,5.01,3.2,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_1,General Inquiry,Afternoon,5.32,3.87,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_1,Technical,Morning,8.31,2.51,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_17,Billing,Morning,6.58,1.63,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_8,Billing,Afternoon,5.41,1.98,False,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Morning,23.49,3.99,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_6,Account,Afternoon,8.54,2.75,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_30,Account,Night,6.21,0.8,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_13,Billing,Afternoon,6.41,0.5,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_4,Billing,Morning,9.8,4.56,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_5,Technical,Morning,9.2,4.18,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_26,Account,Morning,11.17,1.8,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_26,General Inquiry,Morning,5.79,2.52,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_14,Technical,Afternoon,10.79,3.35,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_13,General Inquiry,Morning,4.14,2.79,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_22,Technical,Morning,8.78,4.19,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_15,General Inquiry,Afternoon,6.71,0.5,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Night,12.67,2.14,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_11,Billing,Afternoon,6.11,3.3,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_6,Account,Night,7.25,0.83,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_19,Billing,Afternoon,7.38,3.49,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_13,Technical,Morning,11.91,1.9,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_24,Account,Afternoon,8.33,2.95,True,Script Complexity,False,Baseline,2025-03-31
2025-04-01,Agent_2,Billing,Morning,7.55,3.67,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_30,General Inquiry,Morning,5.85,3.24,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_8,Technical,Morning,10.61,3.55,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_23,Technical,Morning,7.89,0.5,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_20,General Inquiry,Afternoon,7.47,2.68,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_23,Billing,Morning,6.9,4.14,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_13,Billing,Morning,6.44,2.07,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_19,Account,Afternoon,6.03,1.32,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Account,Afternoon,5.81,2.61,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_10,General Inquiry,Morning,6.5,2.17,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_1,General Inquiry,Afternoon,4.85,1.91,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_9,Billing,Morning,6.28,2.43,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Morning,12.02,0.5,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_22,Billing,Morning,6.41,2.46,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_8,Technical,Afternoon,11.07,1.72,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_13,Technical,Afternoon,11.69,3.54,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_30,Account,Morning,5.25,1.09,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_28,General Inquiry,Night,4.43,0.88,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_25,General Inquiry,Morning,5.97,2.15,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_11,Refund,Night,7.54,0.81,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_21,Billing,Morning,5.04,3.42,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_2,Technical,Morning,9.54,3.69,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_26,General Inquiry,Morning,4.58,3.47,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_14,General Inquiry,Afternoon,5.46,3.12,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_2,Technical,Morning,7.0,2.7,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_26,General Inquiry,Morning,4.15,1.6,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_21,Billing,Night,5.02,2.88,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_19,Billing,Afternoon,2.65,2.27,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_22,Technical,Afternoon,13.02,1.64,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_11,General Inquiry,Night,6.46,2.02,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_29,Account,Morning,11.02,3.0,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_19,Technical,Afternoon,11.33,3.16,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_19,General Inquiry,Afternoon,6.89,3.33,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_26,Billing,Afternoon,7.25,1.25,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_19,Refund,Night,13.21,3.63,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_17,Account,Morning,6.86,3.52,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_7,Technical,Afternoon,9.87,3.53,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_23,Technical,Night,7.93,3.14,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_17,Technical,Afternoon,9.57,2.05,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_3,Technical,Morning,13.63,3.17,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_15,Technical,Afternoon,14.03,2.33,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_13,Refund,Afternoon,6.35,3.64,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_11,Billing,Morning,5.96,1.86,True,External Dependency,False,Baseline,2025-03-31
2025-04-01,Agent_3,Account,Afternoon,9.08,0.67,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_13,Billing,Afternoon,11.65,1.66,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_9,Billing,Night,6.77,3.01,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_6,Technical,Afternoon,9.5,1.98,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_29,Refund,Afternoon,8.45,3.6,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_28,General Inquiry,Night,5.68,3.0,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_7,General Inquiry,Night,6.68,1.96,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_13,Technical,Morning,11.6,2.69,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_24,General Inquiry,Morning,5.56,2.45,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_5,Billing,Night,5.96,2.31,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_1,Billing,Morning,5.84,4.52,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_1,Technical,Afternoon,8.15,1.94,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_13,General Inquiry,Afternoon,8.09,3.33,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_3,Refund,Morning,7.01,2.39,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_3,Technical,Morning,11.58,1.72,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_12,Technical,Night,11.6,2.84,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_3,General Inquiry,Morning,6.13,4.14,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_28,Billing,Afternoon,8.94,1.87,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_18,Technical,Afternoon,12.49,3.29,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_24,Billing,Morning,7.19,2.49,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_18,Technical,Afternoon,9.04,2.23,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_7,Billing,Afternoon,6.36,2.6,False,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_9,Refund,Morning,7.45,3.2,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Afternoon,10.98,3.85,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_14,Billing,Morning,7.25,1.47,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_18,Billing,Afternoon,5.64,2.01,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_22,Billing,Morning,11.53,2.9,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_12,General Inquiry,Afternoon,6.39,5.09,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_15,Refund,Morning,8.82,3.3,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_15,Billing,Afternoon,6.79,4.16,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_6,Technical,Morning,13.19,3.27,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Morning,2.88,2.52,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_11,General Inquiry,Morning,5.37,4.45,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_12,General Inquiry,Morning,4.69,2.18,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_15,Account,Afternoon,10.63,1.26,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_19,Billing,Morning,7.52,2.64,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_18,Technical,Afternoon,11.13,2.56,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_29,Technical,Night,10.3,3.37,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_17,General Inquiry,Night,6.18,2.7,False,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_14,Technical,Afternoon,9.35,3.51,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_4,Account,Afternoon,6.56,3.4,False,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_1,Billing,Afternoon,9.41,1.22,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_17,Technical,Morning,12.97,2.95,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_8,Technical,Afternoon,10.72,1.11,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_16,Technical,Afternoon,5.89,3.82,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_15,Billing,Night,6.64,2.31,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_20,Account,Night,7.97,1.67,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_26,Billing,Morning,6.77,2.61,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_10,Refund,Morning,5.33,2.04,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_22,General Inquiry,Night,7.08,3.0,True,Script Complexity,False,Baseline,2025-03-31
2025-04-01,Agent_16,Account,Morning,4.73,3.19,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_10,Technical,Afternoon,11.14,3.13,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_15,Billing,Morning,7.17,3.23,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_7,Account,Morning,4.63,3.48,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Night,12.76,3.31,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_6,Technical,Morning,6.73,2.73,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_29,Technical,Morning,6.11,1.0,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_22,Account,Night,4.67,1.51,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_16,Billing,Morning,7.52,0.5,True,External Dependency,True,Baseline,2025-03-31
2025-04-01,Agent_20,Refund,Afternoon,7.0,4.82,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_16,Technical,Morning,10.98,2.21,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_25,Account,Morning,6.29,4.66,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_22,Account,Morning,5.02,3.39,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_14,General Inquiry,Afternoon,2.35,2.33,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_20,Account,Night,5.68,0.53,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_14,Billing,Afternoon,6.15,2.13,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_4,Billing,Afternoon,4.89,3.16,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_29,Billing,Afternoon,6.73,3.64,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_18,Billing,Afternoon,3.22,1.94,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_16,Account,Afternoon,6.28,1.77,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_6,Technical,Morning,8.14,1.13,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_5,Technical,Night,9.44,2.27,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_24,Technical,Morning,9.59,2.48,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_20,Technical,Morning,11.45,2.11,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_29,Technical,Afternoon,11.38,3.64,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Afternoon,7.2,0.5,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_23,Technical,Morning,9.76,4.51,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_13,General Inquiry,Morning,5.69,0.5,True,External Dependency,False,Baseline,2025-03-31
2025-04-01,Agent_19,Account,Morning,7.33,2.78,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_16,Refund,Morning,6.58,1.08,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_14,Billing,Night,8.94,2.19,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_13,Account,Afternoon,8.2,1.65,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_25,Technical,Afternoon,10.9,1.99,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_17,Account,Morning,5.67,2.33,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_8,Account,Morning,7.49,3.62,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_2,Billing,Afternoon,5.2,2.53,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_29,General Inquiry,Afternoon,3.45,3.5,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_8,Billing,Afternoon,6.83,2.29,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_14,Account,Morning,5.51,2.78,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_17,Billing,Afternoon,8.86,3.63,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_26,Technical,Morning,11.96,2.72,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_21,Billing,Morning,8.02,1.06,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_5,Account,Afternoon,4.09,4.13,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_17,Account,Morning,8.67,3.05,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_17,Technical,Morning,8.77,4.01,False,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_17,Account,Afternoon,8.1,3.35,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_10,Technical,Morning,26.45,2.64,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_14,Billing,Morning,3.63,0.5,False,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_30,General Inquiry,Afternoon,4.4,3.4,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_20,Account,Night,8.36,2.4,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_24,Refund,Morning,7.59,2.02,True,Script Complexity,True,Baseline,2025-03-31
2025-04-01,Agent_18,Refund,Morning,9.43,0.74,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_20,Billing,Night,4.83,2.99,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-01,Agent_5,Account,Morning,7.97,2.97,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_18,General Inquiry,Morning,5.45,2.97,False,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_11,Billing,Afternoon,9.61,2.42,True,Training Gap,False,Baseline,2025-03-31
2025-04-01,Agent_16,Billing,Morning,5.15,4.13,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_27,Technical,Morning,9.35,1.85,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_22,Billing,Morning,5.2,2.0,False,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_17,Billing,Morning,5.38,2.58,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_25,Technical,Morning,12.2,1.97,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-01,Agent_5,Account,Afternoon,6.1,2.57,True,Routing Issue,True,Baseline,2025-03-31
2025-04-01,Agent_7,Account,Morning,8.49,2.53,True,Training Gap,True,Baseline,2025-03-31
2025-04-01,Agent_28,General Inquiry,Morning,3.74,2.84,True,External Dependency,True,Baseline,2025-03-31
2025-04-02,Agent_21,Account,Afternoon,11.48,2.24,True,Routing Issue,False,Baseline,2025-03-31
2025-04-02,Agent_30,Technical,Night,6.85,1.49,True,Routing Issue,False,Baseline,2025-03-31
2025-04-02,Agent_2,General Inquiry,Afternoon,5.37,0.5,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_24,Billing,Afternoon,7.89,2.33,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_22,General Inquiry,Afternoon,4.84,3.17,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_24,Billing,Morning,5.85,3.02,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_25,Billing,Morning,8.87,1.98,True,Script Complexity,True,Baseline,2025-03-31
2025-04-02,Agent_15,Technical,Night,11.68,4.4,True,CRM Slowness,False,Baseline,2025-03-31
2025-04-02,Agent_8,Billing,Morning,10.72,3.91,True,External Dependency,True,Baseline,2025-03-31
2025-04-02,Agent_25,Technical,Night,38.18,3.12,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_28,Account,Morning,6.33,2.22,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_20,Technical,Afternoon,7.37,1.43,True,Script Complexity,True,Baseline,2025-03-31
2025-04-02,Agent_9,Technical,Morning,13.1,2.61,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_21,Technical,Morning,10.87,3.66,True,Script Complexity,True,Baseline,2025-03-31
2025-04-02,Agent_17,Billing,Night,4.68,2.39,True,Training Gap,False,Baseline,2025-03-31
2025-04-02,Agent_6,Account,Afternoon,7.13,0.9,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_2,Technical,Afternoon,12.59,2.28,True,Script Complexity,True,Baseline,2025-03-31
2025-04-02,Agent_10,Refund,Morning,5.19,2.42,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_6,General Inquiry,Morning,5.91,2.79,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_10,Technical,Night,8.05,2.31,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_9,Billing,Afternoon,6.4,1.91,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_8,Refund,Afternoon,4.84,3.4,False,Script Complexity,True,Baseline,2025-03-31
2025-04-02,Agent_27,Billing,Afternoon,5.89,3.08,False,Routing Issue,True,Baseline,2025-03-31
2025-04-02,Agent_15,Technical,Afternoon,11.28,2.33,True,CRM Slowness,True,Baseline,2025-03-31
2025-04-02,Agent_10,Technical,Morning,11.13,1.43,True,Script Complexity,False,Baseline,2025-03-31
2025-04-02,Agent_2,Billing,Morning,6.29,0.62,True,Training Gap,True,Baseline,2025-03-31
2025-04-02,Agent_25,General Inquiry,Afternoon,6.15,3.35,True,Training Gap,True,Baseline,2025-03-31
